"Термин ""биосфера"" был введен в 1875 году"	Эдуардом Зюссом
"Термин ""плохая экология"" употреблять некорректно, так как:"	экология - это наука, а плохой науки не бывает 
Входят ли небиологические области знания в мегаэкологию:	да
Взаимотношение индивидуального организма с окружающей средой изучает раздел экологии, получивший название:	аутэкология
Учение о биосфере создал:	В.И. Вернадский
"Термин ""экология"" был введен"	Эрнстом Геккелем
Совокупность всех форм эксплуатации природно-ресурсного потенциала и мер по его сохранению изучает наука:	природопользование 
"К употреблению термина ""экология души"" профессиональные экологи относятся негативно, так как:"	наука экология изучает только материальный мир 
Первый государственный природный заповедник в России был создан:	в 1916 году (по старому стилю) с целью прекращения охоты и восполнения численности черного баргузинского соболя 
Экология - это наука о ... живых организмов друг с другом и с окружающей средой.	Взаимодействии
"""Для растения в почве необходимо содержание некоторых питательных веществ. Если фосфора в почве лишь 30% от необходимой нормы, а кальция — 45% от нормы, то ограничивающим фактором будет ... """	недостаток фосфора
Лучшими индикаторами (показателями) состояния среды являются виды, которые:	требуют строго определённых условий существования 
Популяцией называют:	самовоспроизводящуюся группу особей одного вида на какой либо территории; 
К группе биотических экологических факторов относятся:	конкуренция за пищу 
Может ли ареал обитания отдельных видов быть не только сплошным, но и разорванным:	да
Виды с общими экологическими нишами способны:	потреблять разнообразную пищу 
"Термин ""биоценоз"" был введен:"	Карлом Августом Мёбиусом 
"Выберите составные части следующего определения: ""Экосистема, или экологическая система — биологическая система, состоящая из ..."" (выберите два ответа)"	"а) среды обитания живых организмов (биотоп)
б) сообщества живых организмов (биоценоз)
"
Специализированную экологическую нишу занимают:	коалы
Примером детритной цепи питания является:	навозная куча 
Организмы, способные синтезировать органические вещества из неорганических -	Автотрофы
Организмы, потребляющие готовые органические вещества -	Консументы
Микроорганизмы, разрушающие отмершие остатки живых существ, превращая их в неорганические и простейшие органические соединения -	Редуценты
Животные и растительные организмы, способные существовать при значительных изменениях условий окружающей среды -	Эврибионты
животные и растения, способные существовать лишь при относительно постоянных условиях окружающей среды (температуры, солености, влажности, наличия определенной пищи и т. д.) -	Стенобионты
Сукцессией называют:	процесс развития биоценоза во времени, выражающийся сменой сообществ, вызванной жизнедеятельностью самого биоценоза 
Может ли устойчивое растительное сообщество называться климаксным:	да
Первичная сукцессия начинается на	вулканической лаве 
После эпидемии чумы в XV веке в Европе прирост населения:	остался прежним 
Демографический переход - это...	переход от высоких показателей рождаемости и смертности к низким 
Число родившихся в год на 1000 человек выражается коэффициентом, получившим название:	ОКР
"Созданная по инициативе Аурелио Печчеи в 1968 году общественная организация ""Римский клуб"" ставила основной своей целью:"	прогноз развития мира 
Всеобщую перепись населения в стране рекомендуется проводить 1 раз в ... лет.	10
Возможность детей быть трудовой силой в семье обычно соответствует ________ коэффициенту рождаемости.	высокому
Возможность для женщины получить образование и работу обычно обусловливает ________ коэффициент рождаемости.	низкий
Высокая стоимость воспитания и образования детей обычно обусловливает ________ коэффициент рождаемости.	низкий
Высокий коэффициент детской смертности обычно обусловливает________ коэффициент рождаемости.	высокий
Общий коэффициент смертности определяется как численность умерших за 1 год на	1 тысячу человек. 
"Демографический взрыв определяется как:
"	резкое ускорение роста численности населения 
